"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Matthew Boyd","Tigers","1","1","0","3","3","17.1","15.06","3.12","0.00",".389","71.4 %","26.5 %","0.0 %","2.60","1.01","2.62","1.1","15440"
"Max Scherzer","Nationals","1","2","0","4","4","27.0","11.67","1.67","0.67",".344","70.9 %","48.5 %","9.5 %","3.33","2.29","2.78","1.0","3137"
"Carlos Rodon","White Sox","2","2","0","4","4","22.0","11.86","3.68","0.00",".281","61.5 %","41.1 %","0.0 %","3.27","1.87","3.74","1.0","16137"
"Luis Castillo","Reds","1","1","0","4","4","24.2","11.68","4.74","0.00",".184","83.3 %","58.7 %","0.0 %","1.46","2.37","3.36","0.9","15689"
"Jose Berrios","Twins","2","1","0","4","4","27.1","9.22","1.65","0.99",".185","83.3 %","43.3 %","11.1 %","2.30","3.18","3.60","0.8","14168"
"Marcus Stroman","Blue Jays","0","3","0","4","4","22.2","9.13","3.97","0.00",".323","73.3 %","56.7 %","0.0 %","1.99","2.44","3.59","0.8","13431"
"Gerrit Cole","Astros","1","2","0","4","4","25.0","12.96","2.16","1.08",".264","58.5 %","36.4 %","13.6 %","3.24","2.54","2.62","0.8","13125"
"Blake Snell","Rays","2","1","0","4","4","25.0","12.96","1.44","1.44",".244","97.0 %","44.9 %","21.1 %","2.16","2.82","2.16","0.7","13543"
"Marco Gonzales","Mariners","4","0","0","5","5","31.0","5.52","2.03","0.58",".284","68.2 %","42.3 %","4.8 %","3.19","3.43","5.12","0.7","15467"
"Noah Syndergaard","Mets","1","1","0","4","4","24.0","10.88","1.88","1.13",".322","54.6 %","53.3 %","15.0 %","5.63","3.10","3.03","0.7","11762"
"Trevor Bauer","Indians","2","1","0","4","4","26.1","10.94","3.76","0.68",".237","87.8 %","34.4 %","9.1 %","2.05","3.18","3.75","0.7","12703"
"Tyler Glasnow","Rays","3","0","0","3","3","17.0","11.12","1.59","0.53",".256","100.0 %","50.0 %","8.3 %","0.53","1.96","2.52","0.7","14374"
"German Marquez","Rockies","2","1","0","4","4","27.0","8.33","2.00","1.00",".156","89.3 %","53.8 %","15.8 %","2.00","3.62","3.49","0.6","15038"
"Masahiro Tanaka","Yankees","1","1","0","4","4","22.1","8.46","2.01","0.81",".349","76.3 %","55.4 %","11.8 %","3.22","3.10","3.35","0.6","15764"
"Joe Musgrove","Pirates","1","1","0","3","2","15.1","8.80","1.76","0.00",".194","81.8 %","44.4 %","0.0 %","0.00","1.97","3.43","0.6","12970"
"Collin McHugh","Astros","2","1","0","3","3","17.0","11.65","2.65","0.53",".237","73.5 %","41.0 %","8.3 %","2.65","2.20","2.75","0.6","7531"
"Ivan Nova","White Sox","0","2","0","3","3","15.1","6.46","1.76","0.00",".333","55.0 %","54.0 %","0.0 %","5.28","2.29","3.63","0.6","1994"
"Lance Lynn","Rangers","1","1","0","3","3","18.2","9.16","1.45","0.96",".315","64.4 %","43.4 %","9.5 %","4.82","3.14","3.85","0.5","2520"
